Title,Author,Pub,Demo,Vols,Series,Sold,SaleVol,Run,Digi,Tele,No..Votes,No..Seen,Bayes..Estimate,Serielized,Plot,Genre,Themes
Kuroko's Basketball (manga),Tadatoshi Fujimaki,3,0,30,6,31,1.03,0,0,0,39,140,7.949894905,2008-2014,NA,NA,tournament
Love Hina (manga),Ken Akamatsu,1,0,14,3,20,1.42,0,0,0,1336,2642,8.156962395,1998-2001,"When he was a child, Keitaro Urashima promised with a girl that they would meet in Tokyo University (Toudai). For this reason he has tried to get into the prestigious university, but has failed the entrance exam two years in a row. When his parents kick him out of the house he tries to find lodging at his Grandmother's inn, but unbeknownst to him it has been changed into an all-girls dormitory. He is allowed to stay in the position of kanrinin (dorm manager) but his clumsiness tends to land him in trouble with the girls. To achieve his dream, he studies to pass the Tokyo University exam along with Naru Narusegawa, who has her own reasons for wanting to get into Toudai.","comedy , drama , romance","fan service , harem , love polygon"
Magi: The Labyrinth of Magic (manga),Shinobu Ohtaka,2,0,37,8,25,0.67,0,0,0,58,161,7.936855316,2009-2017,NA,"adventure , comedy , fantasy",NA
Maison Ikkoku (manga),Rumiko Takahashi,2,1,15,7,25,1.66,0,0,0,315,663,8.543812752,1980-1987,"The boarding house Maison Ikkoku is home to a strange medley of weird characters, including the young student Yusaku and the beautiful (and widowed) manager, Kyoko. We follow the efforts of Yusaku to win Kyoko's affections, with interference from the rest of the tenants.","comedy , drama , romance",NA
Major (manga),Takuya Mitsuda,2,0,101,28,60.5,0.59,1,0,0,11,66,7.93909359,1994-present,"Goro Honda, the son of a Japanese professional baseball player, has aspirations of becoming a pro player. Shigeharu Honda, the father, is quickly becoming a star for the professional Blue Oceans. However, when disaster strikes Shigeharu and consequentially Goro, they must find their paths to the pros.",NA,"tournament , baseball"
Master Keaton (manga),"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",2,1,18,6,20,1.11,0,0,0,25,46,8.071552277,1988-1994,"Taichi Keaton-Hiraga - born of Japanese and British descent. A former SAS agent with remarkable skills in military tactics and archaeology. Keaton is a single father with a part-time job as a world history teacher in Japan. But when certain international issues arise, he is called upon by Lloyd's of London as a special insurance investigator.","drama , mystery , slice of life",military
Miyuki (manga),Mitsuru Adachi,2,0,12,4,25,2.08,0,0,0,52,81,7.566628456,1980-1984,"Wakamatsu Masato is a high school student who has a crush on a girl in his class - the lovely Kashima Miyuki. The road to winning her love is full of misunderstandings though, further complicated by the fact that Masato's younger sister, whom he had not seen for 6 years, has returned to live with him. When Masato finds out that his cute sister, who is also called Miyuki, is not related to him by blood, he has to deal with the conflicting emotions he feels for both Miyukis.","comedy , drama , romance",love triangle
Monster (manga),Naoki Urasawa,2,1,18,7,20,1.11,0,0,1,905,1502,9.21594429,1994-2001,"When a Doctor makes the highly controversial decision to save a boy's life over the mayor's, it leads to the loss of almost everything he holds dear. His fiance, his career, his social standing. The only thing he keeps is his own feeling of self worth, knowing that he did the right thing in saving the boy, who came in first. Yet even that is threatened when he begins to learn that nothing is as it originally appeared. A trail of bloodshed pointing to the seemingly innocent child leaves him questioning even his beliefs. Whether, in the end, all lives are ever truly equal.","drama , mystery , psychological","amnesia , conspiracy , crime"
My Hero Academia (manga),Kōhei Horikoshi,3,0,34,8,65,1.91,1,1,1,39,153,8.070342064,2014-present,"Mankind has developed superpowers known as ""Quirks"" with 80% of the population having some kind of superpower. These new abilities see the rise of both superheroes and villains. A prestigious school known as the The Hero Academy trains superpowered hopefuls into the heroes the world needs. Middle school student Izuku Midoriya wants to be a hero more than anything, but he's part the 20% without a Quirk. Unwilling to give up his dream, he plans to take the exam and be accepted into a high school for budding heroes. Through a series of serendipitous events, he catches the eye of the greatest hero, All Might, who agrees to train him.","action , drama","superhero , superpowers"
Naruto (manga),Masashi Kishimoto,3,0,72,15,250,3.47,0,0,1,2247,5130,8.053887367,1999-2014,"When Naruto was born the spirit of a evil nine-tailed fox was imprisoned within him, rendering him the hate of the villagers in the ninja-village of the Leaf who feared the demon in him. Countering this hate he grew into the role of the clown, trying to attract attention by making a fool of himself and his teachers. But within him dwells the dream of becoming Hokage, the strongest warrior of the village. When he graduates from the academy he’s placed in the same group as Sakura, the technician and the girl he loves and Sasuke, the strong, quiet guy and his rival for Sakura. Leader and teacher of the group are Kakashi, the strange and always late, though powerful ninja.","action , comedy , drama","developing powers , fighting , ninja"
Negima! Magister Negi Magi (manga),Ken Akamatsu,1,0,38,9,20,0.52,0,0,0,710,1785,8.16752243,2003-2012,"After graduating from Merdiana Magic School in Wales, 10-year-old prodigy Negi Springfield is assigned to be an English teacher at Mahora Academy in Japan as training to become a Magister Magi. To his surprise, he is tasked with a class of 31 older girls, 2-A. The story tells his life and times as he juggles with keeping his magic a secret, trying to gain acceptance and respect from his students, helping them with their problems as their teacher, dealing with threats from inside and outside the academy, and finding his father, the legendary ""Thousand Master"".","adventure , comedy , magic","bishōjo , harem , school"
Neon Genesis Evangelion (manga),Yoshiyuki Sadamoto,0,0,14,19,25,1.78,0,0,1,538,1491,8.146554947,1994-2013,"In 2000 A.D., a top-secret encounter between an Antarctic expedition and an entity known as an 'Angel' triggered a global catastrophe. The year is now 2015 and the Angels have returned. Shinji Ikari, a 14-year-old child of the new Earth, is summoned by his long-estranged father Gendo to an underground city underneath Tokyo-3, where the United Nations research organization known as NERV is stationed. To match the fearsome power of the Angels, NERV has constructed a biomechanical weapon named 'Evangelion' - a terrifying monster that young Shinji is destined to pilot.","action , drama , psychological","mecha , military"
Nodame Cantabile (manga),Tomoko Ninomiya,1,2,23,8,38.7,1.68,0,0,0,184,405,8.482506752,2001-2009,"At a top music academy in Japan, Shinichi Chiaki's arrogance is matched only by his top-notch piano playing. But when Chiaki and the teacher get into a fight, he's demoted to the reject class. Chiaki is left to pursue his dream of being a composer while surrounded by a bunch of loser musicians and one annoying girl, Noda, who has proclaimed herself Chiaki's girlfriend. It doesn't help that Noda, who insists on being called Nodame, lives right next door to him.","comedy , drama , romance","music , school life"
Oh My Goddess! (manga),Kōsuke Fujishima,1,1,48,26,25,0.52,0,0,0,389,1284,7.685452461,1988-2014,"While staying alone in his dormitory, college student Keiichi Morisato was trying to call some restaurants for delivery when he accidentally called the Goddess Help Line. Suddenly, the mirror near him glowed and a beautiful goddess named Belldandy appeared out of it. She granted Keiichi his one wish for her to be his girlfriend forever. After being kicked out of the dorm, Keiichi and Belldandy now live in an old temple with her sisters Urd and Skuld.","action , comedy , magic","goddesses , harem , magical girlfriend"
Oishinbo (manga),"Tetsu Kariya, Akira Hanasaki",2,1,111,31,135,1.22,0,0,0,12,44,7.835249901,1983-2014 ,NA,"drama , slice of life",cooking
One-Punch Man (manga),"One, Yusuke Murata",3,1,26,10,30,1.15,1,0,1,83,264,8.492012978,2012-present,"One-Punch Man is a super hero who has trained so hard that his hair has fallen out, and who can overcome any enemy with one punch. However, because he is so strong, he has become bored and frustrated with winning all his battles so easily.","action , science fiction","cyborgs , superhero"
One Piece (manga),Eiichiro Oda,3,0,103,25,516.6,5.02,1,0,1,1337,3012,8.492558479,1997-present,"Twenty two years ago, the legendary pirate, Gold Roger was executed. His final words told that his treasure known as ""One Piece"" was hidden somewhere on the Grand Line. This started the Age of Pirates. Now, twenty two years later, seventeen year old Monkey D. Luffy desires to find One Piece, and become the Pirate King. But to do this, he needs a crew.","adventure , comedy , drama","fighting , pirates , superpowers"
Parasyte (manga),Hitoshi Iwaaki,1,1,10,7,25,2.5,0,0,1,251,486,8.312498093,1988-1995,"Alien pods come to Earth and, naturally, start taking over Human Hosts. One such pod only manages to take over one human's, Shin Izumi, right arm. Together they grow and co-exist, all the while the other aliens are making meals of other humans; Shin feels he must put a stop to it all, but his alien, Migi, doesn't see why.","adventure , drama , horror",monsters
Patalliro! (manga),Mineo Maya,0,2,101,43,25,0.24,1,0,0,5,13,7.521055222,1979-present,NA,comedy,comedy
Rave Master (manga),Hiro Mashima,1,0,35,6,23.5,0.67,0,0,0,249,774,7.470743179,1999-2005,"Haru is a teenage boy. After catching an odd, dog-looking... thing... while fishing, he finds out about the power of the Rave Stone, and receives a sword called the ten commandments. He leaves his older sister, and begins his journey to find the other rave stones. Along the way, he meets Elie, a rather hyper girl with no memory of anything beyond a year.","adventure , comedy , drama","demons , fighting , special abilities"
Reborn! (manga),Akira Amano,3,0,42,8,30,0.71,0,0,0,233,620,7.790124893,2004-2012,"A baby hitman named Reborn, who is the Vongola family's #1 hitman of the mafia ventures to Japan where he meets a boy named Tsuna who has no determination in life. Reborn becomes Tsuna's ""tutor"", while he attempts to train him to be the next boss of the Vongola family. Reborn also posesses a special bullet call the 'Dying Will' bullet, that is a specialty of the Vongola family. This bullet will revive you from death if you have any regrets when dying. When the bullet revives you, it gives you the determination to do what needs to be done.","action , comedy , slice of life","delinquents , mafia , school"
Red River (manga),Chie Shinohara,2,2,28,7,20,0.71,0,0,0,177,447,7.870669365,1995-2002,"One day while walking home, Yuuri Suzuki is magically pulled through a puddle of water and finds herself in the past, or more precisely 1500 B.C. Location: The Hittite Empire, Anatolia. There the queen was to use her as a sacrifice, but she was saved by the queen’s stepson, who is also a heir to the throne. Now she must try to stay alive and get back to her time while hopefully not altering the future.","adventure , drama , romance","historical , time travel"
Rokudenashi Blues (manga),Masanori Morita,3,0,42,9,60,1.42,0,0,0,4,18,7.517250061,1988-1997,"Maeda is a new student in the Teiken High School. He stutters when he's nervous and he's rather clumsy. He gets noted immediately because he hits a teacher during the entrance ceremony. Some clubs search to enlist him as they see in him a force they can use to get even with other clubs. But Maeda is a loner and has only one dream: becoming boxing champion. His first objective is to beat the leader of the boxing club. ""Rokudenashi"" translates as ""good for nothing"".",action,"sports , action"
Rookies (manga),Masanori Morita,3,0,24,5,21,0.87,0,0,0,17,45,7.786338806,1998-2003,"Professor Kawato is the new japanese teacher in the ill-famed Futagotamaga high shool, whose baseball club is composed by thugs and bullies who have been suspended for a year from all school competitions for causing a brawl during an official match. Now that the supension is over, the only club's members left are interested only in women, smoking and doing nothing until, under professor Kawato guidance, they discover a new dream called Koshien. The road to Koshien is far from easy, as they have to get back in shape, to learn how to play baseball and to win everyone else mistrust, including the principal's and other professor's one, with only a few months available. Sweating and fighting, the baseball club will find his determination and strenght, as they proceed towards their dreams, while Kawato's enthusiastic and non-conventional ways slowly change the attitude of everyone near them.",NA,tournament
Rurouni Kenshin (manga),Nobuhiro Watsuki,3,0,28,5,72,2.57,0,1,0,1252,2587,8.712198257,1994-1999,"During the violent era known as the Bakumatsu, there was an Ishin assassin known only as the Hitokiri Battousai, whose skill and brutality became near legendary in the age of Restoration he helped to build. However, as the time of fighting drew to a close, he vanished without a trace, only to resurface eleven years later as a wandering swordsman, Himura Kenshin. Now staying at a kenjutsu dojo maintained by a fiery-tempered woman named Kamiya Kaoru, and surrounded by newfound friends like the streetfighter Sagara Sanosuke, ex-samurai's son Myoujin Yahiko, and the shrewd doctor Takani Megumi, he seeks to carry out his vow to protect the weak without killing in order to atone for the lives he's taken. It's not long, though, before this vow is put to the test, and the shadows of his past return to haunt him and everyone he holds dear.","action , drama , romance","assassins , conspiracy , historical"
Sailor Moon (manga),Naoko Takeuchi,1,2,18,6,46,2.55,0,1,1,418,1299,7.665525436,1991-1997,"Usagi Tsukino is a normal girl until she meets up with Luna, a talking cat, who tells her that she is Sailor Moon. As Sailor Moon, Usagi must fight evils and enforce justice, in the name of the Moon and the mysterious Moon Princess. She meets other people destined to be senshi, and together, they fight the forces of evil.","adventure , magic , romance","magical girl , sentai , superhero"
Sakigake!! Otoko Juku (manga),Akira Miyashita,3,0,34,6,27,0.79,0,0,0,4,11,7.308799744,1985-1991,"Otokojuku, a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through the feudal and military fundamentals. Similar to an action film, the classes are overwhelmed by violence. Only those who survive it become true men.",action,action
Sazae-san (manga),Machiko Hasegawa,1,2,45,28,86,1.91,0,0,0,9,22,7.458692551,1946-1974,NA,"comedy , slice of life",NA
Seito Shokun! (manga),Yoko Shoji,1,2,79,42,25,0.31,0,0,0,4,16,7.961750031,1977-2019,"Nakki is a girl full of energy and a torment to her new teachers. She lived with her grandparents and come back to her home, to her weak and sick twin sister and a new school. We are invited to follow her daily life with her firends in the happy and painful process of becoming an adult. They discover that friendship is the most valuable treasure they can have in their lives. From student to teacher, from a girl to woman, we go with Nakki.","comedy , drama , romance","college , death , love triangle"
Shaman King (manga),Hiroyuki Takei,0,0,32,6,38,1.08,0,0,0,446,1262,7.28382206,1998-2004,"In a world of spirits, there are shamans. Shamans who connect people with the world of spirits. They help guide people and seeks advice. Manta Oyamada is one of those people can see see spirits. One night, he meets Yoh Asakura, a lazy-lacking shaman. They gradually become best friends and Manta finds out about Yoh's past and why he's in Tokyo. As Yoh and his spirit partner Amidamaru confront spirits, they also meet many enemies like Ren. As he meets those enemies, Yoh tries to achieve his goal of becoming the Shaman King.","action , comedy , drama","demons , ghosts"
Shin Crayon Shinchan (manga),"Yoshito Usui, UY Team",0,1,61,32,148,2.55,1,0,0,61,177,7.376001358,1990 - present,NA,NA,NA
Shoot! (manga),Tsukasa Ōshima,1,0,33,13,50,1.51,0,0,0,3,21,-1,1990-2003,"Toshi, Kazuhiro and Kenji are famous in their middle school as skillful footballers whose teamwork brought their team the recognition as one of the best teams around. They wanted to go to Kakegawa High School, one whose football club is relatively new but founded by the legendary high school footballer Kubo Yoshiharu, whose talents are expected to bring Japan to the world stage in the future. Though they nearly couldn't play together anymore, they were united once again with the help of a pretty girl named Kazumi Endo, who quickly became the source of motivation for Toshi and Kazuhiro as the club's manager. Together with Kubo, they arise as new challengers who would create their own legends.","comedy , drama , romance",tragedy
Shura no Mon (manga),Masatoshi Kawahara,1,0,31,9,30,0.96,0,0,0,1,32,-1,1987-1996,NA,"action , tournament",martial arts
Slam Dunk (manga),Takehiko Inoue,3,0,31,6,170,5.48,0,0,1,331,640,8.395910263,1990-1996,"Sakuragi Hanamichi is a no-good, high school punk that is famous to some for his fighting exploits. And because of that, he gets rejected by girls whenever he confesses to them. In comes Haruko Akagi. With his eyes and heart for her, he decides to do anything to win her heart, even playing basketball. Little did he know of the game that he is about to play, plus with the fact that there is a freshman like him who is exceptional, and a fierce and strict captain who is always behind his back. Gradually, he begins to experience the life of a basketball player, and his love for the game. This is a story of hardships, friendships and commitment in order to gain something. It is suitable for basketball lovers as well as those who are looking for inspiration.","comedy , drama , tournament","basketball , school , sports"
Space Brothers (manga),Chūya Koyama,1,1,40,15,28,0.7,1,0,0,9,31,8.52353096,2007-present,NA,"drama , psychological , science fiction",NA
Sukeban Deka (manga),Shinji Wada,0,2,22,6,20,0.9,0,0,0,3,7,-1,1976-1982,NA,drama,"drama , police"
Swan (manga),Kyoko Ariyoshi,3,2,21,5,20,0.95,0,0,0,22,62,7.127084732,1976-1981,"Masumi Hijiri is a 16-year-old ballet student attending a small school in Japan. When she unexpectedly recieves an invitation to attend a special ballet competition, and later gains admission to a renowned ballet academy, she embarks on a grand adventure of friendship and hardship. She is the weakest of the students, and as such encounters several challenges, but her determination and faith in herself help guide her through the fierce world of ballet.","drama , romance , tournament",ballet
Terraformars (manga),"Yū Sasuga, Kenichi Tachibana",3,1,22,7,22,1,0,0,0,17,39,7.381414413,2011-2018 ,"With Earth quickly becoming uninhabitable due to a swelling population, humans develop a project to terraform Mars, one that involves leaving cockroaches on the planet's surface. Five hundred years later, Earth sends a team of astronauts to ""exterminate"" the roaches and prepare Mars for colonization. Once there, however, the astronauts discover that the roaches have rapidly mutated into terrible humanoids, more powerful than any normal human. But the astronauts have been given special, insect-like abilities to deal with the roaches, and a violent struggle for control of the planet ensues.",science fiction,science fiction
That Time I Got Reincarnated as a Slime (manga),"Fuse, Taiki Kawakami",1,0,19,7,30,1.57,1,0,1,13,36,7.572352409,2015-present,"Living alone and never having had a girlfriend, 37-year-old Satoru Mikami is dissatisfied with how his life has turned out. But after dying at the hands of a robber, he awakens to a fresh start in a new world…as a slime monster. <em class=de-emphasized>(from manga)</em>",NA,NA
The Prince of Tennis (manga),Takeshi Konomi,3,0,42,9,60,1.42,0,0,0,288,797,7.336585999,1999-2008,"13 years old tennis genius, Ryoma Echizen, returns from America after winning Junior Championships. He returns to his home country, Japan and attends the Seigaku High School, which is famous for its tennis club. Being a freshman and being able to beat even the 2nd and 3rd years at tennis, Ryoma get in troubles with bullies. However, Ryoma's skill is rewarded when Team Captain Tezuka allows him to join the team and enter national tournaments.","drama , tournament","sports , tennis"
The Promised Neverland (manga),"Kaiu Shirai, Posuka Demizu",3,0,20,4,41,2.05,0,1,1,31,84,8.142848969,2016-2020,"Emma, Norman and Ray are the brightest kids at the Grace Field House orphanage. And under the care of the woman they refer to as “Mom,” all the kids have enjoyed a comfortable life. Good food, clean clothes and the perfect environment to learn. One day, though, Emma and Norman uncover the dark truth of the outside world they are forbidden from seeing.","drama , horror , mystery",NA
The Rose of Versailles (manga),Riyoko Ikeda,3,2,10,1,23,2.3,0,0,0,41,148,8.18842411,1972-1973,"A series of side-story one-shots adding details to The Rose of Versailles characters, like Andre's youth and Alain de Soissons.",NA,NA
The Seven Deadly Sins (manga),Nakaba Suzuki,1,0,41,8,37,0.9,0,0,1,46,127,7.692152023,2012-2020,"Elizebath sets out to save the Kingdom of Lyons by searching for the infamous group of criminals who tried to overthrow the Kingdom, to ask them to save the Kingdom. She stumbles into a travelling Bar where she meets Meliodas, the owner of the Bar and the Dragon's Sin of Wrath. After a brief encounter with a Holy Knight, the journey starts, to find the other members of the Seven Deadly Sins and to try and save the Kingdom.","adventure , fantasy","conspiracy , fanservice , superpowers"
The Silent Service (manga),Kaiji Kawaguchi,1,1,32,8,25,0.78,0,0,0,3,16,-1,1988-1996,"A secret program between US and Japan for the first Japanese-operated nuclear ballistic missile submarine caused an international political crisis after the captain renamed the sub to ""Yamato"" (the largest battleship ever built in WWII) and declared that the sub is an independent state while defying US 7th fleet with never-before-seen tactics.",drama,"military , drama"
Tokimeki Tonight (manga),Koi Ikeno,3,2,30,12,30,1,0,0,0,12,27,8.101724625,1982-1994,"This is a long, epic manga that spans three generations of the Etou family. The first part is about Ranze, a relatively normal high school girl, except for the fact that her father is a vampire, her mother is a werewolf, and that she has magical powers of her own. Her family was banished from the Magic World to live among the humans, and they now guard the gate between the two realms. The story really begin when Ranze falls for a human boy, which her parents strictly forbid. Later story arcs focus on Ranze's brother and on Ranze's daughter.",romance,romance
Tokyo Ghoul (manga),Sui Ishida,3,1,30,7,47,1.56,0,1,1,110,252,8.195543289,2011-2018,"Ken Kaneki is a bookworm college student who meets a girl named Rize at a cafe he frequents. They're the same age and have the same interests, so they quickly become close. Little does Kaneki know that Rize is a ghoul - a kind of monster that lives by hunting and devouring human flesh. When part of her special organ - ""the red child"" - is transplanted into Kaneki, he becomes a ghoul himself, trapped in a warped world where humans are not the top of the food chain.",horror,horror
Tokyo Revengers (manga),Ken Wakui,1,0,28,5,65,2.32,1,1,1,5,17,8.24338913,2017-present,"Watching the news, Takemichi Hanagaki learns that his girlfriend from way back in middle school, Hinata Tachibana, has died. The only girlfriend he ever had was just killed by a villainous group known as the Tokyo Manji Gang. He lives in a crappy apartment with thin walls, and his six-years-younger boss treats him like an idiot. At the height of his rock-bottom life, he suddenly time-leaps twelve years back to his middle school days. To save Hinata, and change the life he spent running away, hopeless part-timer Takemichi must aim for the top of Kanto's most sinister delinquent gang.",NA,NA
Touch (manga),Mitsuru Adachi,2,0,26,5,100,3.85,0,0,0,108,179,7.924264908,1981-1986,"Uesugi Tatsuya and his twin brother Kazuya have both fallen in love with their childhood friend, Asakura Minami. But whereas Kazuya is a talented baseball pitcher, planning on fulfilling Minami's dreams of entering Koushien, Tatsuya always seems to mess up - perhaps deliberately giving in to his younger brother. But then, a life-changing event happens, and Tatsuya begins to work his way up to earn Minami's love and fulfill her dreams.","comedy , drama , romance","baseball , school , school life"
Urusei Yatsura (manga),Rumiko Takahashi,2,0,34,9,35,1.02,0,0,0,128,311,7.749466896,1978-1987,"Urusei Yatsura is the story of the unluckiest and most lecherous young man alive, Ataru Moroboshi. When aliens decide to invade Earth, Ataru is randomly selected to defend his planet by playing a game of the aliens' national sport, tag. Should he win, the world shall be saved. However, Ataru is motivated for far less noble reasons, as the one he plays against is revealed to be the curvaceous alien princess, Lum. The game goes for 10 days, and on the last day, Ataru, motivated by his girlfriend assuring him marriage (and consequently, a marriage night one can assume) should he win, finally catches Lum. However, with his victory he gives a cry of joy for his coming marriage, which is misinterpreted by Lum to be a marriage proposal. She promptly agrees, beginning the two's ""marriage"" together.","comedy , romance",NA
Ushijima the Loan Shark (manga),Shohei Manabe,2,1,46,15,21,0.45,0,0,1,4,10,7.776350021,2004-2019,"In this manga, you will see how the black-market works, and how dangerous people could get if they borrow from loan sharks or black market traders.","drama , psychological",mafia
Ushio & Tora (manga),Kazuhiro Fujita,2,0,33,6,30,0.9,0,0,0,19,49,7.894135475,1990-1996,"While cleaning out his family's Shinto temple, middle-school student Ushio Aotsuki stumbles upon a hidden cellar which houses a dangerous yokai. The yokai, pinned by a legendary weapon called the Beast Spear for 500 years, attracts many other supernatural creatures to the premises. Ushio is forced to free the creature – whom he names “Tora” – in return for his help in defeating them. Tora, who wishes to eat Ushio but is stalled by the Beast Spear, begins to haunt the boy in the hopes that an opportunity will present itself. However, Ushio's possession of the Spear seems to result in trouble after trouble, and Tora finds himself an unwilling ally to Ushio in his battles against various supernatural foes. Meanwhile, a greater danger lurks in the form of Hakumen no Mono, an incredibly powerful yokai with a thirst for destruction who is about to awaken from an extended slumber.","action , comedy , supernatural",NA
Vagabond (manga),Takehiko Inoue,1,1,37,17,82,2.21,0,0,0,410,739,8.859882355,1998-2015 ,"Growing up in 17th century Sengoku era Japan, Shinmen Takezou is shunned by the local villagers as a devil child due to his wild and violent nature. Running away from home with a fellow boy at age 17, Takezou joins the Toyotomi army to fight the Tokugawa clan at the battle of Sekigahara. However, the Tokugawa win a crushing victory, leading to nearly three hundred years of Shogunate rule. Takezou and his friend manage to survive the battle, and afterwards swear to do great things with their lives. But after their paths seperate, Takezou becomes a wanted criminal, and must change his name and his nature in order to escape an ignoble death. Based on the book ""Musashi"" by Eiji Yoshikawa, Vagabond is a fictional retelling of the life of Miyamoto Mushashi, often referred to as the ""Sword Saint"" - perhaps the most famous and successful of Japan's sword fighters.","adventure , drama , psychological","historical , martial arts , samurai"
Worst (manga),Hiroshi Takahashi,0,0,33,11,35,1.06,0,0,0,22,63,7.531545639,2002-2013,"At the notorious all-boys Suzuran High, Hana Tsukishima aims at becoming the leader of his fellow delinquents. On his way to the top, he and his friends encounter and fight many other gangs and rival schools.","action , comedy",NA
Yowamushi Pedal (manga),Wataru Watanabe,0,0,80,14,28,0.35,1,0,0,8,45,8.115933418,2008-present,NA,"comedy , drama",NA
Yu-Gi-Oh! (manga),Kazuki Takahashi,3,0,38,8,40,1.05,0,0,1,391,1074,6.356942177,1996-2004,"After assembling the ancient Millenium Puzzle, high school student Yuugi Mutou gains a dark alter ego who protects his friends by challenging those who wrong him to deadly games.","action , drama , fantasy",card games
Yukan Club (manga),Yukari Ichijo,3,2,19,20,25,1.31,0,0,0,3,17,-1,1982-2002,NA,NA,NA
YuYu Hakusho (manga),Yoshihiro Togashi,3,0,19,4,50,2.63,0,0,0,441,1161,7.677495003,1990-1994,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World was caught by surpise that he would sacrifice himself. Yusuke soon finds out he wasn't supposed to die and has a chance for resurrection and bringing his body back to life. After being resurrected, Yusuke becomes a Spirit Detective, along with his comrades, and one adventure after another happens, whether it be an investigation or a fighting tournament.","action , drama , supernatural","demons , detective , developing powers"
